#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,github_user
,,0,2023-09-16T14:35:50.622Z,2023-09-16T15:00:50.622Z,2023-09-16T15:01:50.622Z,39,totalCommitContributions,github_activity,farukaf
,,1,2023-09-16T14:35:50.622Z,2023-09-16T15:00:50.622Z,2023-09-16T15:01:50.622Z,23,totalContributions,github_activity,farukaf
,,2,2023-09-16T14:35:50.622Z,2023-09-16T15:00:50.622Z,2023-09-16T15:01:50.622Z,10,totalIssueContributions,github_activity,farukaf
,,3,2023-09-16T14:35:50.622Z,2023-09-16T15:00:50.622Z,2023-09-16T15:01:50.622Z,7,totalPullRequestContributions,github_activity,farukaf
,,4,2023-09-16T14:35:50.622Z,2023-09-16T15:00:50.622Z,2023-09-16T15:01:50.622Z,2,totalRepositoryContributions,github_activity,farukaf
,,5,2023-09-15T14:35:50.622Z,2023-09-15T15:00:50.622Z,2023-09-15T15:01:50.622Z,41,totalCommitContributions,github_activity,farukaf
,,6,2023-09-15T14:35:50.622Z,2023-09-15T15:00:50.622Z,2023-09-15T15:01:50.622Z,54,totalContributions,github_activity,farukaf
,,7,2023-09-15T14:35:50.622Z,2023-09-15T15:00:50.622Z,2023-09-15T15:01:50.622Z,6,totalIssueContributions,github_activity,farukaf
,,8,2023-09-15T14:35:50.622Z,2023-09-15T15:00:50.622Z,2023-09-15T15:01:50.622Z,1,totalPullRequestContributions,github_activity,farukaf
,,9,2023-09-15T14:35:50.622Z,2023-09-15T15:00:50.622Z,2023-09-15T15:01:50.622Z,5,totalRepositoryContributions,github_activity,farukaf
,,10,2023-09-14T14:35:50.622Z,2023-09-14T15:00:50.622Z,2023-09-14T15:01:50.622Z,36,totalCommitContributions,github_activity,farukaf
,,11,2023-09-14T14:35:50.622Z,2023-09-14T15:00:50.622Z,2023-09-14T15:01:50.622Z,14,totalContributions,github_activity,farukaf
,,12,2023-09-14T14:35:50.622Z,2023-09-14T15:00:50.622Z,2023-09-14T15:01:50.622Z,10,totalIssueContributions,github_activity,farukaf
,,13,2023-09-14T14:35:50.622Z,2023-09-14T15:00:50.622Z,2023-09-14T15:01:50.622Z,6,totalPullRequestContributions,github_activity,farukaf
,,14,2023-09-14T14:35:50.622Z,2023-09-14T15:00:50.622Z,2023-09-14T15:01:50.622Z,2,totalRepositoryContributions,github_activity,farukaf
,,15,2023-09-13T14:35:50.622Z,2023-09-13T15:00:50.622Z,2023-09-13T15:01:50.622Z,5,totalCommitContributions,github_activity,farukaf
,,16,2023-09-13T14:35:50.622Z,2023-09-13T15:00:50.622Z,2023-09-13T15:01:50.622Z,69,totalContributions,github_activity,farukaf
,,17,2023-09-13T14:35:50.622Z,2023-09-13T15:00:50.622Z,2023-09-13T15:01:50.622Z,8,totalIssueContributions,github_activity,farukaf
,,18,2023-09-13T14:35:50.622Z,2023-09-13T15:00:50.622Z,2023-09-13T15:01:50.622Z,2,totalPullRequestContributions,github_activity,farukaf
,,19,2023-09-13T14:35:50.622Z,2023-09-13T15:00:50.622Z,2023-09-13T15:01:50.622Z,5,totalRepositoryContributions,github_activity,farukaf
,,20,2023-09-12T14:35:50.622Z,2023-09-12T15:00:50.622Z,2023-09-12T15:01:50.622Z,1,totalCommitContributions,github_activity,farukaf
,,21,2023-09-12T14:35:50.622Z,2023-09-12T15:00:50.622Z,2023-09-12T15:01:50.622Z,108,totalContributions,github_activity,farukaf
,,22,2023-09-12T14:35:50.622Z,2023-09-12T15:00:50.622Z,2023-09-12T15:01:50.622Z,0,totalIssueContributions,github_activity,farukaf
,,23,2023-09-12T14:35:50.622Z,2023-09-12T15:00:50.622Z,2023-09-12T15:01:50.622Z,10,totalPullRequestContributions,github_activity,farukaf
,,24,2023-09-12T14:35:50.622Z,2023-09-12T15:00:50.622Z,2023-09-12T15:01:50.622Z,1,totalRepositoryContributions,github_activity,farukaf
,,25,2023-09-11T14:35:50.622Z,2023-09-11T15:00:50.622Z,2023-09-11T15:01:50.622Z,37,totalCommitContributions,github_activity,farukaf
,,26,2023-09-11T14:35:50.622Z,2023-09-11T15:00:50.622Z,2023-09-11T15:01:50.622Z,122,totalContributions,github_activity,farukaf
,,27,2023-09-11T14:35:50.622Z,2023-09-11T15:00:50.622Z,2023-09-11T15:01:50.622Z,2,totalIssueContributions,github_activity,farukaf
,,28,2023-09-11T14:35:50.622Z,2023-09-11T15:00:50.622Z,2023-09-11T15:01:50.622Z,9,totalPullRequestContributions,github_activity,farukaf
,,29,2023-09-11T14:35:50.622Z,2023-09-11T15:00:50.622Z,2023-09-11T15:01:50.622Z,0,totalRepositoryContributions,github_activity,farukaf
,,30,2023-09-10T14:35:50.622Z,2023-09-10T15:00:50.622Z,2023-09-10T15:01:50.622Z,13,totalCommitContributions,github_activity,farukaf
,,31,2023-09-10T14:35:50.622Z,2023-09-10T15:00:50.622Z,2023-09-10T15:01:50.622Z,25,totalContributions,github_activity,farukaf
,,32,2023-09-10T14:35:50.622Z,2023-09-10T15:00:50.622Z,2023-09-10T15:01:50.622Z,6,totalIssueContributions,github_activity,farukaf
,,33,2023-09-10T14:35:50.622Z,2023-09-10T15:00:50.622Z,2023-09-10T15:01:50.622Z,7,totalPullRequestContributions,github_activity,farukaf
,,34,2023-09-10T14:35:50.622Z,2023-09-10T15:00:50.622Z,2023-09-10T15:01:50.622Z,4,totalRepositoryContributions,github_activity,farukaf
,,35,2023-09-09T14:35:50.622Z,2023-09-09T15:00:50.622Z,2023-09-09T15:01:50.622Z,2,totalCommitContributions,github_activity,farukaf
,,36,2023-09-09T14:35:50.622Z,2023-09-09T15:00:50.622Z,2023-09-09T15:01:50.622Z,125,totalContributions,github_activity,farukaf
